ID,チャットが行われる日付,予約する日付,エリア,大人人数,子ども人数,合計人数
1,7月12日,8月中旬に1泊,島根県,1,1,2
2,11月27日,1月下旬に4泊,福島県,3,1,4
3,10月27日,12月下旬に3泊,滋賀県,2,0,2
4,3月10日,4月上旬に2泊,宮城県,2,0,2
5,6月11日,7月中旬に2泊,高知県,2,1,3
6,3月17日,5月中旬に2泊,鹿児島県,1,2,3
7,7月20日,8月19日から1泊,高知県,3,1,4
8,3月2日,4月1日から4泊,宮崎県,3,0,3
9,11月20日,2月19日から2泊,四国地方,4,0,4
10,1月30日,3月29日から1泊,東京都,1,0,1
11,9月14日,11月13日から4泊,三重県,1,2,3
12,9月3日,11月2日から1泊,熊本県,4,0,4
13,10月9日,12月8日から1泊,徳島県,2,0,2
14,10月24日,1月23日から4泊,九州地方,4,0,4
15,7月11日,8月10日から1泊,神奈川県,1,3,4
16,8月4日,9月3日から2泊,四国地方,1,0,1
17,10月18日,11月17日から2泊,兵庫県,3,1,4
18,9月19日,10月18日から4泊,九州地方,2,2,4
19,3月9日,5月8日から4泊,長野県,4,0,4
20,4月18日,7月17日から1泊,岡山県,4,0,4
21,11月27日,12月26日から4泊,秋田県,2,1,3
22,12月2日,1月1日から3泊,奈良県,1,3,4
23,11月28日,2月27日から3泊,岐阜県,3,0,3
24,3月27日,5月26日から1泊,神奈川県,2,0,2
25,9月15日,10月14日から1泊,宮崎県,3,0,3
26,4月26日,5月25日から3泊,佐賀県,1,1,2
27,9月12日,11月11日から4泊,山口県,2,0,2
28,11月14日,2月13日から2泊,岡山県,3,0,3
29,7月6日,9月5日から4泊,福井県,1,1,2
30,10月13日,12月12日から2泊,関西地方,1,2,3
31,5月19日,6月18日から1泊,神奈川県,4,0,4
32,10月26日,12月25日から4泊,大分県,1,3,4
33,3月9日,6月8日から2泊,千葉県,3,0,3
34,6月19日,7月18日から1泊,北海道,2,2,4
35,12月21日,3月20日から3泊,山梨県,4,0,4
36,4月2日,6月1日から1泊,京都府,2,2,4
37,9月21日,10月20日から4泊,宮崎県,2,2,4
38,9月14日,12月13日から2泊,四国地方,4,0,4
39,9月2日,11月1日から2泊,三重県,2,1,3
40,12月20日,1月19日から2泊,福井県,4,0,4
41,4月10日,5月9日から1泊,埼玉県,4,0,4
42,1月20日,3月19日から3泊,福井県,3,0,3
43,3月23日,4月22日から2泊,北海道,1,2,3
44,12月11日,2月10日から3泊,沖縄県,2,0,2
45,6月3日,7月2日から4泊,沖縄県,1,2,3
46,5月14日,7月13日から2泊,東北地方,3,1,4
47,9月9日,12月8日から1泊,奈良県,4,0,4
48,5月9日,8月8日から1泊,山形県,3,0,3
49,8月11日,9月10日から2泊,宮城県,3,0,3
50,7月22日,10月21日から4泊,佐賀県,4,0,4
51,7月10日,8月9日から1泊,新潟県,2,2,4
52,4月5日,7月4日から2泊,香川県,4,0,4
53,5月28日,8月27日から3泊,群馬県,3,0,3
54,9月4日,10月上旬に1泊,徳島県,2,2,4
55,11月2日,12月1日から1泊,和歌山県,1,1,2
56,3月28日,5月27日から1泊,岩手県,1,2,3
57,7月27日,9月26日から4泊,神奈川県,4,0,4
58,9月15日,11月14日から2泊,北海道,4,0,4
59,12月26日,2月25日から4泊,鹿児島県,4,0,4
60,11月27日,12月26日から1泊,宮崎県,1,1,2
61,11月15日,2月14日から2泊,佐賀県,4,0,4
62,1月26日,2月25日から4泊,山梨県,1,3,4
63,7月6日,9月上旬に2泊,関西地方,4,0,4
64,1月15日,3月14日から1泊,佐賀県,1,3,4
65,12月26日,1月25日から1泊,東京都,4,0,4
66,8月5日,10月上旬に3泊,長崎県,1,2,3
67,5月2日,7月上旬に3泊,四国地方,1,1,2
68,4月23日,6月下旬に2泊,徳島県,3,0,3
69,12月15日,2月中旬に3泊,福井県,3,1,4
70,3月25日,4月下旬に1泊,富山県,1,2,3
71,4月19日,5月中旬に2泊,京都府,1,2,3
72,2月26日,3月25日から3泊,福岡県,1,0,1
73,9月20日,11月中旬に4泊,愛知県,2,0,2
74,12月4日,2月上旬に2泊,京都府,2,1,3
75,10月12日,1月11日から1泊,新潟県,4,0,4
76,3月29日,4月13日から3泊,神奈川県,2,0,2
77,6月6日,7月5日から4泊,京都府,2,2,4
78,3月13日,4月12日から1泊,兵庫県,4,0,4
79,12月19日,2月18日から4泊,北海道,4,0,4
80,7月26日,10月25日から3泊,和歌山県,1,2,3
81,1月9日,2月8日から3泊,徳島県,1,0,1
82,3月19日,5月18日から4泊,北海道,4,0,4
83,7月21日,9月20日から3泊,宮崎県,2,0,2
84,8月2日,10月1日から4泊,鳥取県,3,0,3
85,4月21日,6月20日から1泊,新潟県,2,1,3
86,4月14日,7月13日から4泊,山梨県,1,1,2
87,1月2日,3月1日から4泊,鹿児島県,1,2,3
88,8月20日,11月19日から3泊,長野県,2,1,3
89,12月10日,3月9日から3泊,愛媛県,1,2,3
90,12月20日,1月19日から4泊,鳥取県,4,0,4
91,2月23日,3月22日から4泊,青森県,2,2,4
92,8月11日,9月10日から2泊,九州地方,2,1,3
93,3月3日,4月2日から2泊,東京都,3,0,3
94,10月14日,1月13日から4泊,広島県,1,0,1
95,7月9日,9月8日から3泊,佐賀県,2,1,3
96,12月9日,3月8日から3泊,奈良県,1,3,4
97,12月11日,1月10日から2泊,福島県,1,2,3
98,12月22日,2月21日から3泊,岩手県,2,0,2
99,11月10日,2月9日から4泊,広島県,2,0,2
100,6月5日,8月4日から3泊,富山県,3,0,3
101,1月28日,4月27日から4泊,長野県,1,0,1
102,3月22日,4月下旬に1泊,岐阜県,3,0,3
103,8月22日,10月下旬に3泊,栃木県,4,0,4
104,7月10日,9月上旬に4泊,鹿児島県,4,0,4
105,4月25日,6月下旬に1泊,北海道,2,2,4
106,8月15日,10月中旬に2泊,山梨県,1,3,4
107,5月7日,7月上旬に2泊,栃木県,1,3,4
108,9月16日,11月中旬に3泊,群馬県,3,1,4
109,9月14日,11月中旬に1泊,三重県,4,0,4
110,7月16日,8月中旬に3泊,京都府,2,0,2
111,4月2日,5月上旬に3泊,四国地方,4,0,4
112,5月11日,6月中旬に1泊,青森県,2,0,2
113,1月19日,3月中旬に3泊,高知県,4,0,4
114,8月11日,10月中旬に3泊,山形県,3,1,4
115,8月18日,10月中旬に2泊,愛知県,2,1,3
116,3月10日,4月上旬に3泊,鳥取県,3,0,3
117,7月2日,8月上旬に3泊,福岡県,3,0,3
118,11月16日,1月中旬に3泊,奈良県,4,0,4
119,8月20日,10月中旬に2泊,鳥取県,4,0,4
120,9月11日,11月中旬に3泊,群馬県,4,0,4
121,6月26日,7月25日から3泊,和歌山県,4,0,4
122,3月24日,5月下旬に2泊,秋田県,3,1,4
123,12月9日,2月8日から3泊,香川県,2,2,4
124,5月19日,7月18日から2泊,神奈川県,1,3,4
125,4月21日,7月20日から4泊,高知県,2,2,4
126,1月2日,3月1日から4泊,鹿児島県,3,0,3
127,3月21日,4月20日から4泊,長崎県,2,0,2
128,4月14日,7月13日から4泊,神奈川県,3,0,3
129,11月2日,12月1日から3泊,群馬県,2,0,2
130,1月19日,2月18日から2泊,高知県,1,3,4
131,3月21日,4月20日から1泊,高知県,2,1,3
132,8月21日,10月下旬に1泊,岩手県,4,0,4
133,11月2日,1月1日から3泊,静岡県,3,1,4
134,10月24日,11月下旬に3泊,静岡県,4,0,4
135,6月29日,7月下旬に3泊,長野県,1,3,4
136,10月19日,11月中旬に2泊,香川県,2,1,3
137,10月21日,1月20日から3泊,群馬県,3,0,3
138,12月14日,3月13日から3泊,群馬県,1,0,1
139,8月2日,10月1日から3泊,広島県,3,0,3
140,5月28日,7月下旬に4泊,岐阜県,3,0,3
141,3月16日,4月中旬に1泊,秋田県,3,0,3
142,6月13日,8月中旬に2泊,秋田県,3,1,4
143,3月25日,4月下旬に4泊,栃木県,3,0,3
144,4月1日,6月上旬に3泊,大阪府,3,0,3
145,7月15日,9月中旬に2泊,東北地方,3,0,3
146,4月19日,7月中旬に3泊,静岡県,2,1,3
147,9月17日,11月中旬に1泊,大阪府,3,0,3
148,12月2日,1月1日から3泊,山梨県,1,1,2
149,1月8日,3月上旬に1泊,石川県,1,1,2
150,4月20日,5月19日から1泊,京都府,4,0,4
151,11月10日,2月9日から4泊,鹿児島県,3,0,3
152,8月20日,10月19日から3泊,三重県,1,3,4
153,6月23日,9月22日から2泊,三重県,2,0,2
154,8月14日,10月中旬に3泊,長野県,3,0,3
155,5月8日,7月上旬に4泊,福岡県,2,0,2
156,5月20日,7月19日から1泊,大阪府,1,0,1
157,9月23日,12月22日から4泊,福井県,4,0,4
158,8月23日,10月22日から2泊,埼玉県,2,2,4
159,7月11日,8月中旬に3泊,東北地方,3,1,4
160,10月23日,12月下旬に2泊,栃木県,3,0,3
161,12月26日,2月下旬に1泊,富山県,4,0,4
162,11月3日,12月上旬に3泊,徳島県,4,0,4
163,3月8日,4月上旬に2泊,福井県,4,0,4
164,5月11日,7月10日から1泊,福岡県,4,0,4
165,3月3日,4月2日から2泊,群馬県,2,1,3
166,9月14日,11月13日から2泊,沖縄県,2,0,2
167,6月9日,9月8日から2泊,新潟県,4,0,4
168,3月9日,5月8日から1泊,滋賀県,3,0,3
169,2月3日,3月上旬に2泊,滋賀県,2,1,3
170,1月22日,3月下旬に1泊,福井県,1,3,4
171,12月25日,1月下旬に3泊,東北地方,2,0,2
172,1月14日,2月13日から3泊,和歌山県,4,0,4
173,4月9日,6月8日から3泊,四国地方,1,0,1
174,6月9日,9月8日から2泊,岡山県,2,0,2
175,8月20日,10月中旬に1泊,東北地方,3,0,3
176,3月19日,4月中旬に1泊,岩手県,2,2,4
177,9月21日,11月下旬に3泊,奈良県,1,2,3
178,4月24日,6月下旬に3泊,岩手県,2,1,3
179,1月22日,3月下旬に4泊,三重県,1,0,1
180,6月22日,8月下旬に2泊,熊本県,4,0,4
181,3月9日,4月8日から4泊,群馬県,2,2,4
182,6月9日,7月8日から2泊,兵庫県,3,0,3
183,7月9日,8月8日から4泊,山口県,1,1,2
184,9月10日,11月上旬に2泊,北海道,1,3,4
185,8月12日,10月中旬に4泊,大分県,3,1,4
186,5月4日,7月上旬に1泊,新潟県,1,3,4
187,10月11日,1月10日から4泊,山梨県,2,1,3
188,4月22日,5月21日から3泊,奈良県,3,0,3
189,5月10日,7月9日から4泊,埼玉県,1,2,3
190,12月5日,3月4日から4泊,神奈川県,1,0,1
191,12月28日,1月27日から3泊,新潟県,1,0,1
192,4月13日,6月中旬に4泊,和歌山県,4,0,4
193,3月10日,4月9日から4泊,三重県,2,2,4
194,12月5日,2月4日から3泊,富山県,2,1,3
195,2月28日,3月27日から3泊,香川県,4,0,4
196,9月7日,11月上旬に3泊,石川県,1,2,3
197,3月15日,4月中旬に4泊,和歌山県,1,1,2
198,11月11日,1月中旬に4泊,熊本県,2,1,3
199,9月1日,11月上旬に1泊,愛媛県,1,1,2
200,12月7日,1月上旬に3泊,長野県,3,1,4
201,6月20日,8月中旬に4泊,栃木県,1,2,3
202,6月1日,8月上旬に2泊,京都府,4,0,4
203,8月22日,10月下旬に4泊,宮崎県,2,2,4
204,6月29日,8月下旬に1泊,千葉県,3,0,3
205,12月5日,2月4日から4泊,福井県,3,0,3
206,1月28日,2月27日から4泊,山梨県,1,1,2
207,10月2日,12月上旬に3泊,愛知県,4,0,4
208,4月11日,6月中旬に3泊,香川県,3,0,3
209,1月28日,2月27日から3泊,岐阜県,2,0,2
210,2月13日,4月中旬に4泊,広島県,4,0,4
